transaction_id,product_id,product_name,quantity,unit_price,transaction_date,customer_id
1,P1,Wireless Mouse,2,24.99,2026-01-05,C1001
2,P2,Mechanical Keyboard,1,89.99,2026-01-06,C1002
3,P3,USB-C Hub,3,39.99,2026-01-07,C1003
4,P4,HD Webcam,1,54.99,2026-01-08,C1004
5,P5,Laptop Stand,2,29.99,2026-01-09,C1005
6,P1,Wireless Mouse,1,24.99,2026-01-12,C1006
7,P2,Mechanical Keyboard,2,89.99,2026-01-13,C1007
8,P3,USB-C Hub,1,39.99,2026-01-14,C1008
9,P4,HD Webcam,2,54.99,2026-01-15,C1009
10,P5,Laptop Stand,1,29.99,2026-01-16,C1010
11,P1,Wireless Mouse,3,24.99,2026-01-20,C1001
12,P2,Mechanical Keyboard,1,89.99,2026-01-21,C1011
13,P3,USB-C Hub,2,39.99,2026-01-22,C1012
14,P4,HD Webcam,1,54.99,2026-01-23,C1013
15,P5,Laptop Stand,4,29.99,2026-01-24,C1014
16,P1,Wireless Mouse,1,24.99,2026-02-02,C1015
17,P2,Mechanical Keyboard,2,89.99,2026-02-03,C1002
18,P3,USB-C Hub,1,39.99,2026-02-04,C1003
19,P4,HD Webcam,3,54.99,2026-02-05,C1004
20,P5,Laptop Stand,1,29.99,2026-02-06,C1005
21,P1,Wireless Mouse,2,24.99,2026-02-10,C1006
22,P2,Mechanical Keyboard,1,89.99,2026-02-11,C1007
23,P3,USB-C Hub,3,39.99,2026-02-12,C1008
24,P4,HD Webcam,1,54.99,2026-02-13,C1009
25,P5,Laptop Stand,2,29.99,2026-02-14,C1010
26,P1,Wireless Mouse,1,24.99,2026-02-18,C1011
27,P2,Mechanical Keyboard,3,89.99,2026-02-19,C1012
